id,alegacao,tipo,fontes,confianca,observacao
C01,"O manejo diário inclui decidir quando e quanto irrigar usando solo cultura clima chuva e características do sistema.",C1,"BR04; BR06; IN01",Alta,"Consenso entre relato brasileiro estudo qualitativo e orientação técnica."
C02,"Em operações maiores a decisão pode ficar com proprietário ou gerente e a execução com operador/equipe.",C2,"BR01; BR10; IN06",Média,"A divisão exata varia por porte e organização."
C03,"O trabalho não termina no comando: é preciso acompanhar equipamento e confirmar o efeito da aplicação.",C1,"IN02; IN03; IN06",Alta,"Caso de campo mostrou pivô concluindo ciclo sem aplicar a lâmina programada."
C04,"Chuva e solo variam dentro da propriedade e tornam um único dado insuficiente.",C1,"BR02; IN01; IN05; IN07",Alta,"Relatos independentes apontam chuva localizada heterogeneidade do solo e risco de sensor pouco representativo."
C05,"Previsão de chuva exige julgamento porque pode acertar a região e não a área específica.",C1,"BR02; IN01; IN05",Alta,"A decisão combina previsão com contexto local e capacidade de antecipação."
C06,"Conectividade pode atrasar ou impedir monitoramento e confirmação remota.",C2,"IN01; IN07",Média,"Evidência internacional forte; prevalência no ICP brasileiro ainda não medida."
C07,"Custo assinatura calibração instalação manutenção e treinamento limitam a adoção.",C1,"BR07; BR08; IN01; IN04; IN07",Alta,"A barreira não é apenas preço de compra."
C08,"Mais tecnologia pode aumentar carga mental quando gera novas telas dados e prescrições para manter.",C1,"BR03; IN01; IN04",Alta,"Um agente que apenas cria outra interface pode piorar o trabalho."
C09,"Controle remoto reduz deslocamento e acelera reação a falhas em operações que antes exigiam presença física.",C1,"BR01; IN02; IN06; IN07",Alta,"Benefício recorrente; magnitude depende da dispersão física."
C10,"Alertas e monitoramento não agregam igual para todos: algumas equipes já detectam e comunicam falhas rapidamente.",C1,"BR03; BR01; IN02",Alta,"Contradição central para refinar o ICP."
C11,"Experiência humana e assistência agronômica continuam participando da decisão mesmo quando existem sensores.",C1,"BR03; BR04; BR07; IN01",Alta,"Não há base para prometer substituição do agrônomo."
C12,"O valor mais diretamente relatado envolve tempo resposta a falha deslocamento organização e tranquilidade.",C1,"BR01; IN01; IN02; IN07",Alta,"Economia de água aparece mas percentuais não podem ser generalizados."
C13,"Economia de água e energia precisa ser validada por operação em vez de apresentada como percentual universal.",C1,"BR05; BR08; IN03; IN07",Alta,"Os resultados dependem do sistema anterior clima solo e capacidade de aplicação."
C14,"O ICP útil não é todo produtor irrigante mas a operação multipivô na qual coordenação e confirmação ainda têm lacunas frequentes.",C1,"BR01; BR03; IN02; IN03",Alta,"O recorte multipivô foi definido para o MVP; frequência e intensidade da dor ainda exigem entrevistas próprias."
C15,"A solução deve automatizar um fluxo sob regras aprovadas e escalar exceções em vez de inventar uma prescrição agronômica.",C1,"BR03; BR04; BR06; IN01; IN05",Alta,"Recomendação derivada dos limites observados."
